Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
116,-11,Tory Lanez ,The Color Violet,8,70,,8980016,-502954.0,79382715
117,-16,NewJeans ,Hype Boy,21,78,,8962839,-612963.0,170452253
118,-6,Grupo Frontera ,No Se Va,21,36,,8960131,-340312.0,222317139
119,-42,Rihanna ,Diamonds,21,77,,8867033,-1942967.0,40141525
120,+6,Lewis Capaldi ,Someone You Loved,215,4,,8851839,-45709.0,2591799157
121,-7,Adele ,Easy On Me,71,1,7,8817756,-401057.0,1206176419
122,NEW,TINI ,Cupido,1,122,,8802704,,8802704
123,-5,The Weeknd ,Stargirl Interlude,33,42,,8792555,-260399.0,230969720
124,NEW,Grupo Marca Registrada ,Di Que Si,1,124,,8739643,,8739643
125,-10,SZA ,Nobody Gets Me,11,12,,8693417,-482708.0,153592865
126,-6,Sia ,Unstoppable,56,96,,8639958,-312125.0,389777563
127,-35,Shakira ,Monotonía,18,21,,8589162,-1522171.0,250709315
128,NEW,Superstar Pride ,PAINTING PICTURES,1,128,,8561434,,8561434
129,+13,Imagine Dragons ,Believer,316,16,,8548787,118212.0,2374237588
130,-2,Kordhell ,Murder In My Mind,28,82,,8545204,-244744.0,240855320
131,-1,Fujii Kaze ,Shinunoga E,14,66,,8494701,-242666.0,138138278
132,-13,Rauw Alejandro ,LOKERA,28,38,,8442885,-607029.0,313719414
133,+15,Ed Sheeran ,Shivers,76,4,,8439810,143626.0,1125481853
134,+1,Cigarettes After Sex ,Apocalypse,33,89,,8426683,-123094.0,259888273
135,+2,Eminem ,The Real Slim Shady,90,51,,8423035,-99379.0,610347150
136,+17,Taylor Swift ,Blank Space,63,113,,8417235,183107.0,414055722
137,-38,Rihanna ,Only Girl (In The World),2,99,,8403900,-1244503.0,18052303
138,-6,Quevedo ,Vista Al Mar,24,45,,8352996,-281071.0,236806789
139,+8,One Direction ,Night Changes,66,25,,8352000,40926.0,341742321
140,-4,Bad Bunny ,Neverita,42,15,,8343424,-197034.0,528006430
141,+47,Quevedo ,WANDA,4,141,,8309239,813569.0,30528346
142,NEW,AgroPlay ,Nosso Quadro,1,142,,8276916,,8276916
143,+3,The Weeknd ,Call Out My Name,70,1,1,8274888,-58462.0,654860323
144,+30,Yuridia ,Qué Agonía,10,128,,8249870,410207.0,76818745
145,-4,Zach Bryan ,Something in the Orange,24,57,,8248065,-216196.0,207041579
146,-21,Lizzo ,About Damn Time,41,9,,8239527,-683558.0,575840635
147,-18,Post Malone ,I Like You (A Happier Song),38,10,,8227015,-542413.0,458052202
148,-9,Drake ,Jimmy Cooks,36,7,,8217595,-272991.0,440686185
149,-4,Eminem ,Superman,21,108,,8213607,-135774.0,166859487
150,-1,Mora ,LA INOCENTE,31,74,,8211339,-71188.0,244224370
151,+5,Vance Joy ,Riptide,237,16,,8207257,16727.0,995286681
152,-30,Rihanna ,Bitch Better Have My Money,58,17,,8193967,-738105.0,201259765
153,+4,Lana Del Rey ,Summertime Sadness,28,94,,8171777,31457.0,211750666
